Type,ACC,AUC,Sn,Sp,MCC
Train Fold 1,0.8072,0.8884,0.8086,0.8058,0.6144
Validation Fold 1,0.7488,0.8308,0.7475,0.75,0.4976
Test Fold 1,0.7431,0.8179,0.7479,0.7382,0.4861
Train Fold 2,0.8075,0.886,0.8199,0.7952,0.6153
Validation Fold 2,0.7499,0.8245,0.7655,0.7343,0.5
Test Fold 2,0.7406,0.8157,0.742,0.7391,0.4811
Train Fold 3,0.8145,0.8928,0.8573,0.7717,0.6313
Validation Fold 3,0.7474,0.8276,0.79,0.7048,0.4967
Test Fold 3,0.745,0.8186,0.7932,0.6967,0.4922
Train Fold 4,0.8245,0.9005,0.8526,0.7963,0.6499
Validation Fold 4,0.7466,0.8344,0.7735,0.7198,0.494
Test Fold 4,0.7425,0.8109,0.7704,0.7145,0.4857
Train Fold 5,0.8039,0.8866,0.8112,0.7967,0.6079
Validation Fold 5,0.7532,0.8297,0.7547,0.7516,0.5063
Test Fold 5,0.7328,0.8096,0.7482,0.7175,0.4659
Average Test Predictions,0.8265,0.9071,0.8478,0.8052,0.6536
Average Test Predictions,0.753,0.8288,0.7757,0.7303,0.5065
