Type,ACC,Sn,Sp,Precision,F1-score,AUC,MCC
Train Fold 1,0.8392,0.8519,0.8265,0.8308,0.8412,0.911,0.6786
Validation Fold 1,0.7782,0.7851,0.7712,0.7744,0.7797,0.8513,0.5564
Test Fold 1,0.7502,0.7616,0.7388,0.7446,0.753,0.829,0.5006
Train Fold 2,0.8235,0.8396,0.8074,0.8133,0.8263,0.898,0.6473
Validation Fold 2,0.763,0.7949,0.731,0.7473,0.7704,0.8395,0.527
Test Fold 2,0.7555,0.7812,0.7297,0.743,0.7616,0.8245,0.5116
Train Fold 3,0.8297,0.8698,0.7896,0.8052,0.8363,0.9062,0.6616
Validation Fold 3,0.7703,0.8235,0.7171,0.7445,0.782,0.8409,0.5437
Test Fold 3,0.7479,0.8037,0.692,0.723,0.7612,0.8147,0.4989
Train Fold 4,0.8369,0.875,0.7987,0.813,0.8429,0.9147,0.6757
Validation Fold 4,0.7707,0.8136,0.7279,0.7492,0.7801,0.8472,0.5435
Test Fold 4,0.7507,0.804,0.6973,0.7265,0.7633,0.8189,0.5042
Train Fold 5,0.8156,0.8302,0.801,0.8067,0.8183,0.8939,0.6315
Validation Fold 5,0.7617,0.7784,0.7451,0.7532,0.7656,0.842,0.5238
Test Fold 5,0.7404,0.7657,0.7151,0.7288,0.7468,0.8146,0.4815
Average Test Predictions,0.759,0.7976,0.7204,0.7404,0.768,0.833,0.5195
