Type,ACC,AUC,Sn,Sp,MCC
SVM_train,0.7681,0.8475,0.7909,0.7453,0.5368
SVM_test,0.6973,0.763,0.7248,0.6698,0.3952
RF_train,0.9994,1.0,0.9997,0.9992,0.9989
RF_test,0.6752,0.7349,0.7063,0.644,0.3511
KNN_train,0.7511,0.8233,0.7767,0.7256,0.5029
KNN_test,0.6019,0.6291,0.6239,0.58,0.2041
XGBoost_train,0.9993,1.0,0.9993,0.9992,0.9985
XGBoost_test,0.6783,0.7361,0.7142,0.6423,0.3575
DNN_train,0.7367,0.815,0.7811,0.6922,0.4752
DNN_test,0.6995,0.7623,0.7569,0.642,0.4016
CNN_train,0.7388,0.8137,0.769,0.7086,0.4785
CNN_test,0.7033,0.7662,0.7546,0.6519,0.4087
LSTM_train,0.7783,0.8567,0.8084,0.7481,0.5576
LSTM_test,0.7433,0.8185,0.7719,0.7148,0.4875
