Type,ACC,Sn,Sp,Precision,F1-score,AUC,MCC
SVM_train,0.7801,0.799,0.7612,0.7699,0.7842,0.8587,0.5606
SVM_test,0.6984,0.723,0.6739,0.6892,0.7057,0.7609,0.3974
RF_train,0.9996,0.9998,0.9993,0.9993,0.9996,1.0,0.9992
RF_test,0.6755,0.697,0.654,0.6683,0.6823,0.7342,0.3513
KNN_train,0.748,0.7537,0.7422,0.7452,0.7494,0.8208,0.4959
KNN_test,0.5948,0.6043,0.5853,0.593,0.5986,0.6257,0.1896
XGBoost_train,0.9993,0.9998,0.9989,0.9989,0.9993,1.0,0.9987
XGBoost_test,0.6752,0.718,0.6323,0.6614,0.6885,0.7324,0.3517
DNN_train,0.7434,0.7534,0.7334,0.7386,0.7459,0.8181,0.4869
DNN_test,0.6983,0.7277,0.6689,0.6873,0.7069,0.7572,0.3973
CNN_train,0.7454,0.7664,0.7244,0.7355,0.7507,0.8231,0.4913
CNN_test,0.7008,0.7382,0.6634,0.6868,0.7116,0.765,0.4027
LSTM_train,0.7908,0.813,0.7686,0.7784,0.7953,0.8724,0.5821
LSTM_test,0.7464,0.7818,0.711,0.7301,0.7551,0.8244,0.4941
