time:1 acc:0.5669786487276982  sen:0.8715998830067271  spe:0.2623574144486692  mcc:0.16892812275403554  f1:0.6680865373837014  AUC:0.6209675880899206  precision:0.5416212286441294
time:2 acc:0.5827727405674173  sen:0.7768353319684118  spe:0.38871014916642294  mcc:0.17962704444875524  f1:0.6505817513778323  AUC:0.6162464527110985  precision:0.5596291613990729
time:3 acc:0.5747294530564493  sen:0.8131032465633226  spe:0.3363556595495759  mcc:0.1700251021749089  f1:0.6565895134624468  AUC:0.6170336935664222  precision:0.5506040800158447
time:4 acc:0.5719508628253875  sen:0.8011114360924246  spe:0.3427902895583504  mcc:0.1619080620348676  f1:0.6517549077929804  AUC:0.6092691162653584  precision:0.549338146811071
time:5 acc:0.5839426732962855  sen:0.739397484644633  spe:0.428487861947938  mcc:0.1766397019461819  f1:0.6399189975952412  AUC:0.6154199888259277  precision:0.5640339134315038
time:6 acc:0.5739982451009067  sen:0.7613337233109096  spe:0.3866627668909038  mcc:0.15962383382795925  f1:0.6412119719177238  AUC:0.602827984729281  precision:0.5538297872340425
time:7 acc:0.564931266452179  sen:0.7821000292483182  spe:0.3477625036560398  mcc:0.14417152904282068  f1:0.6425567703952901  AUC:0.5978088911978816  precision:0.5452691680261011
time:8 acc:0.5745832114653407  sen:0.8245100906697865  spe:0.324656332260895  mcc:0.17222576109369017  f1:0.6596466596466597  AUC:0.6203159810706322  precision:0.5497269890795632
time:9 acc:0.5647850248610705  sen:0.8543433752559227  spe:0.2752266744662182  mcc:0.15893394576685552  f1:0.6625085053300068  AUC:0.6176951384230768  precision:0.5410261159473977
time:10 acc:0.5763381105586429  sen:0.5042410061421468  spe:0.6484352149751389  mcc:0.1542886286831241  f1:0.5434200157604413  AUC:0.6088270551819697  precision:0.5892002734107997
average acc:0.6050014624159111  sen:0.8332845861362972  spe:0.376718338695525  mcc:0.2360407131121789  f1:0.6784140969162995  AUC:0.6542230285636903  precision:0.5720883534136546
