Type,ACC,AUC,Sn,Sp,MCC
Train Fold 1,0.7949,0.8734,0.8455,0.7444,0.5929
Validation Fold 1,0.7516,0.8164,0.8056,0.6977,0.5062
Test Fold 1,0.7357,0.8059,0.7821,0.6894,0.4735
Train Fold 2,0.7985,0.8761,0.8148,0.7823,0.5974
Validation Fold 2,0.7438,0.8108,0.7663,0.7212,0.488
Test Fold 2,0.7363,0.8082,0.7406,0.7321,0.4727
Train Fold 3,0.7932,0.8717,0.8568,0.7295,0.5911
Validation Fold 3,0.7536,0.8256,0.8178,0.6893,0.5114
Test Fold 3,0.7381,0.8102,0.7985,0.6777,0.4797
Train Fold 4,0.8015,0.8781,0.8602,0.7427,0.6072
Validation Fold 4,0.7446,0.8232,0.7956,0.6936,0.4918
Test Fold 4,0.7343,0.8078,0.7897,0.6789,0.4715
Train Fold 5,0.7944,0.8718,0.8524,0.7364,0.5928
Validation Fold 5,0.7389,0.8187,0.7899,0.6879,0.4803
Test Fold 5,0.7393,0.8097,0.783,0.6955,0.4803
Average Test Predictions,0.8097,0.8904,0.8598,0.7596,0.6225
Average Test Predictions,0.7493,0.823,0.7938,0.7049,0.5007
