Type,ACC,AUC,Sn,Sp,MCC
Train Fold 1,0.8098,0.8853,0.8217,0.798,0.6198
Validation Fold 1,0.7357,0.8106,0.7402,0.7312,0.4714
Test Fold 1,0.7328,0.8052,0.7376,0.728,0.4657
Train Fold 2,0.8033,0.8816,0.8334,0.7731,0.6077
Validation Fold 2,0.745,0.8121,0.7786,0.7114,0.4911
Test Fold 2,0.7344,0.8064,0.7625,0.7063,0.4696
Train Fold 3,0.7947,0.8705,0.8625,0.7269,0.5949
Validation Fold 3,0.754,0.8209,0.8235,0.6844,0.5129
Test Fold 3,0.7366,0.8091,0.8146,0.6587,0.4791
Train Fold 4,0.8075,0.8852,0.8826,0.7324,0.6221
Validation Fold 4,0.7483,0.8302,0.8201,0.6765,0.5018
Test Fold 4,0.728,0.806,0.8037,0.6522,0.4613
Train Fold 5,0.7967,0.8744,0.8079,0.7854,0.5935
Validation Fold 5,0.7385,0.815,0.749,0.7279,0.477
Test Fold 5,0.7314,0.8108,0.7461,0.7166,0.4629
Average Test Predictions,0.8177,0.8965,0.8589,0.7764,0.6375
Average Test Predictions,0.7471,0.8222,0.7903,0.704,0.4961
