Type,ACC,AUC,Sn,Sp,MCC
Train Fold 1,0.7406,0.813,0.7754,0.7058,0.4824
Validation Fold 1,0.7022,0.766,0.7451,0.6593,0.4059
Test Fold 1,0.6784,0.7286,0.7388,0.618,0.3595
Train Fold 2,0.7379,0.8152,0.7857,0.6901,0.478
Validation Fold 2,0.6976,0.7687,0.7426,0.6525,0.3968
Test Fold 2,0.6791,0.7292,0.7502,0.6081,0.362
Train Fold 3,0.7334,0.8091,0.7798,0.687,0.4688
Validation Fold 3,0.7119,0.7868,0.7639,0.6599,0.4261
Test Fold 3,0.6802,0.7283,0.7529,0.6075,0.3642
Train Fold 4,0.7399,0.8122,0.7813,0.6984,0.4814
Validation Fold 4,0.7148,0.7752,0.7645,0.665,0.4317
Test Fold 4,0.6767,0.7286,0.7379,0.6154,0.356
Train Fold 5,0.7346,0.8114,0.8205,0.6486,0.4762
Validation Fold 5,0.7078,0.7724,0.7899,0.6258,0.4214
Test Fold 5,0.6772,0.7337,0.7836,0.5709,0.3628
Average Test Predictions,0.7422,0.8179,0.796,0.6885,0.4873
Average Test Predictions,0.681,0.7334,0.7605,0.6016,0.3667
